cod_departamento,departamento,cod_candidato,candidato,partido,votos
24,RISARALDA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
25,NORTE DE SAN,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,519225
25,NORTE DE SAN,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,128110
25,NORTE DE SAN,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,33341
25,NORTE DE SAN,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,28803
25,NORTE DE SAN,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,11436
25,NORTE DE SAN,996,No Marcados,Sin partido / Voto especial,8708
25,NORTE DE SAN,997,Votos Nulos,Sin partido / Voto especial,5415
25,NORTE DE SAN,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,2400
25,NORTE DE SAN,998,Votos en Blanco,Sin partido / Voto especial,1635
25,NORTE DE SAN,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,945
25,NORTE DE SAN,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,758
25,NORTE DE SAN,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",514
25,NORTE DE SAN,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,387
25,NORTE DE SAN,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,151
25,NORTE DE SAN,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
25,NORTE DE SAN,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
26,QUINDIO,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,142807
26,QUINDIO,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,94318
26,QUINDIO,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,27586
26,QUINDIO,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,15713
26,QUINDIO,996,No Marcados,Sin partido / Voto especial,5608
26,QUINDIO,997,Votos Nulos,Sin partido / Voto especial,4735
26,QUINDIO,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,3649
26,QUINDIO,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,2362
26,QUINDIO,998,Votos en Blanco,Sin partido / Voto especial,940
26,QUINDIO,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,516
